Category,Score,World Rank,University Name
teaching,28.50,251-300,Colorado School of Mines
teaching,31.60,251-300,Colorado State University
teaching,23.70,251-300,University of Delaware
teaching,21.40,251-300,Flinders University
teaching,41.10,251-300,University of Georgia
teaching,22.50,251-300,Griffith University
teaching,16.20,251-300,University of Iceland
teaching,42.70,251-300,Indian Institute of Science
teaching,31.20,251-300,Iowa State University
teaching,19.00,251-300,James Cook University
teaching,32.90,251-300,Justus Liebig University Giessen
teaching,23.90,251-300,King Abdulaziz University
teaching,21.20,251-300,Koç University
teaching,43.90,251-300,Korea University
teaching,29.10,251-300,University of Liège
teaching,24.20,251-300,Linköping University
teaching,37.20,251-300,Nanjing University
teaching,37.70,251-300,National Tsing Hua University
teaching,27.30,251-300,"National University of Ireland, Galway"
teaching,27.40,251-300,University of Newcastle
teaching,36.10,251-300,North Carolina State University
teaching,30.60,251-300,Oregon State University
teaching,46.80,251-300,Osaka University
teaching,35.80,251-300,Queen’s University
teaching,28.80,251-300,Queensland University of Technology
teaching,30.40,251-300,Rensselaer Polytechnic Institute
teaching,29.90,251-300,Royal College of Surgeons in Ireland
teaching,32.80,251-300,Ruhr University Bochum
teaching,36.90,251-300,Saint Louis University
teaching,59.10,251-300,University of São Paulo
teaching,23.20,251-300,Simon Fraser University
teaching,31.70,251-300,University of Surrey
teaching,31.40,251-300,Syracuse University
teaching,21.80,251-300,University of Tasmania
teaching,29.50,251-300,"University of Tennessee, Knoxville"
teaching,31.60,251-300,Tomsk Polytechnic University
teaching,39.10,251-300,Tulane University
teaching,20.80,251-300,Umeå University
teaching,34.10,251-300,Vienna University of Technology
teaching,34.90,251-300,Virginia Polytechnic Institute and State University
teaching,25.80,251-300,University of Wollongong
teaching,44.30,251-300,Zhejiang University
teaching,21.60,301-350,Aberystwyth University
teaching,25.10,301-350,University of Alaska Fairbanks
teaching,35.60,301-350,Autonomous University of Madrid
teaching,22.60,301-350,Bangor University
teaching,30.90,301-350,University of Bremen
teaching,31.30,301-350,University of Cincinnati
teaching,35.90,301-350,University of Connecticut
teaching,22.40,301-350,Deakin University
teaching,33.90,301-350,University of Essex
teaching,29.60,301-350,George Mason University
teaching,30.10,301-350,University of Greifswald
teaching,35.20,301-350,Gwangju Institute of Science and Technology
teaching,30.90,301-350,University of Hohenheim
teaching,23.60,301-350,University of Innsbruck
teaching,21.90,301-350,Kazan Federal University
teaching,24.60,301-350,University of Kent
teaching,36.50,301-350,Leibniz University of Hanover
teaching,28.50,301-350,Macquarie University
teaching,25.40,301-350,Medical College of Wisconsin
teaching,30.50,301-350,University of Milan
teaching,24.30,301-350,University of Milan-Bicocca
teaching,38.70,301-350,Montpellier University
teaching,40.80,301-350,Nagoya University
teaching,24.70,301-350,University of Naples Federico II
teaching,32.90,301-350,National Chiao Tung University
teaching,43.90,301-350,National Research Nuclear University MePhI
teaching,31.70,301-350,National Taiwan University of Science and Technology (Taiwan Tech)
teaching,31.90,301-350,University of Navarra
teaching,30.10,301-350,University of Nebraska-Lincoln
teaching,18.30,301-350,Örebro University
teaching,21.20,301-350,University of Oregon
teaching,25.70,301-350,University of Padua
teaching,25.00,301-350,University of Pavia
teaching,19.30,301-350,Plymouth University
teaching,37.80,301-350,Shanghai Jiao Tong University
teaching,19.20,301-350,University of Southern Denmark
teaching,28.20,301-350,Stellenbosch University
teaching,25.50,301-350,University of Strasbourg
teaching,34.20,301-350,Technical University of Dortmund
teaching,30.80,301-350,Technion Israel Institute of Technology
teaching,18.60,301-350,Toulouse 1 Capitole University
teaching,26.50,301-350,University of Trieste
teaching,27.40,301-350,University of Turin
teaching,27.10,301-350,University of Turku
teaching,28.70,301-350,Vrije Universiteit Brussel
teaching,18.80,301-350,VŠB - Technical University of Ostrava
teaching,37.20,301-350,Yonsei University
teaching,30.20,301-350,York University
teaching,22.60,351-400,Bilkent University
teaching,22.70,351-400,"Binghamton University, State University of New York"
teaching,18.60,351-400,University of Crete
teaching,18.00,351-400,University of Cyprus
teaching,31.20,351-400,Drexel University
teaching,24.80,351-400,University of Eastern Finland
teaching,21.70,351-400,University of Florence
teaching,25.80,351-400,University of St Gallen
teaching,26.00,351-400,Graz University of Technology
teaching,28.00,351-400,University of Guelph
teaching,33.90,351-400,Hanyang University
teaching,22.60,351-400,Hong Kong Baptist University
teaching,34.90,351-400,University of Houston
teaching,37.80,351-400,Indian Institute of Technology Bombay
teaching,22.20,351-400,Instituto Superior Técnico Lisboa
teaching,28.20,351-400,University of Jyväskylä
teaching,27.00,351-400,La Trobe University
teaching,31.20,351-400,Loughborough University
teaching,27.10,351-400,University of Manitoba
teaching,31.20,351-400,University of Missouri
teaching,18.70,351-400,University of Modena and Reggio Emilia
teaching,30.80,351-400,University of Montana
teaching,24.60,351-400,"National University of Ireland, Maynooth"
teaching,37.00,351-400,University of Nebraska Medical Center
teaching,25.60,351-400,University of New Mexico
teaching,16.30,351-400,Norwegian University of Science and Technology
teaching,23.10,351-400,University of Oulu
teaching,53.20,351-400,Panthéon-Sorbonne University – Paris 1
teaching,23.70,351-400,Polytechnic University of Turin
teaching,23.10,351-400,University of Rome III
teaching,22.30,351-400,Sabancı University
teaching,20.30,351-400,San Diego State University
teaching,26.40,351-400,University of South Australia
teaching,31.10,351-400,University of South Carolina
teaching,29.30,351-400,University of South Dakota
teaching,44.60,351-400,State University of Campinas
teaching,22.60,351-400,University of Stirling
teaching,31.90,351-400,Sun Yat-sen University
teaching,22.20,351-400,Swansea University
teaching,21.50,351-400,Swinburne University of Technology
teaching,23.80,351-400,University of Tartu
teaching,34.00,351-400,Temple University
teaching,18.10,351-400,University of Texas at San Antonio
teaching,26.50,351-400,UiT The Arctic University of Norway
teaching,26.10,351-400,Université Libre de Bruxelles
teaching,15.10,351-400,Lille 2 University – Health and Law
teaching,28.60,351-400,University College Cork
teaching,23.60,351-400,Verona University
